jams_file,track_name,artist_name,album_name,track_number,duration,release_year,musicbrainz,isrc,deezer_id,deezer_url,youtube_url,acousticbrainz,spotify_id
biab-internet-corpus_2713.jams,My Old Kentucky Home,John Prine,"My Old Kentucky Home, Goodnight",1,225.0,2019,,US42D0400007,667963522.0,https://www.deezer.com/track/667963522,https://music.youtube.com/watch?v=_Zf31oTrx48,,
biab-internet-corpus_957.jams,Tipperary/British Army/M1T1,Nathan Lay,Remembrance,,181.0,,,,,,https://music.youtube.com/watch?v=gs5IH76mwCM,,
biab-internet-corpus_3664.jams,Citadel Waltz,Branford Marsalis,Renaissance,5,639.64,,7e573578-9b2c-4383-b6be-1e7930e71f76,['USSM19912187'],,,https://music.youtube.com/watch?v=D3mjt_VvZmY,,
biab-internet-corpus_4413.jams,To The Ladies,Mud,"A’s, B’s and Rarities",8,357.0,2021,575a3362-1d9b-4471-9acb-3e6cc93274f1,USIR28700008,1359261862.0,https://www.deezer.com/track/1359261862,https://music.youtube.com/watch?v=9sp3lfZXtqw,,
biab-internet-corpus_4005.jams,EIGHT DAYS A WEEK,Hurriganes,Live in Stockholm 1977,8,163.0,2015,8f01606d-459b-4715-9cfb-0415ca028d2c,GBUM71505893,116348606.0,https://www.deezer.com/track/116348606,https://music.youtube.com/watch?v=XTfmuDjwQTw,,
biab-internet-corpus_1001.jams,Take The A Train,Duke Ellington,The Fabulous Swing Collection - More Fabulous Swing,4,228.0,2023,,DELM41405513,2226477947.0,https://www.deezer.com/track/2226477947,https://music.youtube.com/watch?v=RhuzhkPpKz0,,
biab-internet-corpus_2885.jams,Beyond The Sea,David Campbell,The Swing Sessions,1,267.0,2012,8502bf7f-3084-4d7d-b922-88e4d1558270,GBAYK1200012,16162672.0,https://www.deezer.com/track/16162672,https://music.youtube.com/watch?v=Rc7_lCfbQP0,,
biab-internet-corpus_2012.jams,I'm Past My Prime,Greensky Bluegrass,"Shouted, Written Down & Quoted",9,187.0,2010,8961bf40-a18d-4086-978f-4e87fbf9f6bf,GBURF0950959,10635204.0,https://www.deezer.com/track/10635204,https://music.youtube.com/watch?v=CRA1J1kML-U,,
biab-internet-corpus_3361.jams,A Chance To Try Again,Dressy Bessy,Electrified,33,203.0,2021,0b6541b8-a76c-4652-b927-d3017abc1ba2,QZHN72130334,1373590592.0,https://www.deezer.com/track/1373590592,https://music.youtube.com/watch?v=WxEqGD24690,,
biab-internet-corpus_3204.jams,POMPOUS,OMIT PNO,Stomping Grounds,10,169.0,,6c521a99-882a-4c23-bfdc-1679dd921e95,['USL4T1510010'],,,https://music.youtube.com/watch?v=D0eE8l87oyY,,
biab-internet-corpus_1171.jams,By The Pale Silvery Light Of The Moon,Ann Breen,Among Beggars And Thieves,,245.0,,,,,,https://music.youtube.com/watch?v=6AUY9tot4aU,,
biab-internet-corpus_1953.jams,Algo Bueno,Granada,Hablo de una tierra,2,120.0,2023,90d954b0-7ef3-4a3a-abd9-726762caa9e7,QZWDE2338616,2462308625.0,https://www.deezer.com/track/2462308625,https://music.youtube.com/watch?v=YHXWCFksAb8,,
biab-internet-corpus_1810.jams,Second Hand Blues,BasRif_8.sty demo,Lifeline,14,229.653,,213f31f9-5b27-4a42-b5b9-25fd5b6b5df3,['USA370519694'],,,https://music.youtube.com/watch?v=hRpul6CVMvM,,
biab-internet-corpus_1100.jams,SAMBA DE ORFEU,Paul Desmond,Take Ten,13,216.0,1992,,USPM19301024,1047508.0,https://www.deezer.com/track/1047508,https://music.youtube.com/watch?v=EEg8zK6C3H8,,
biab-internet-corpus_3717.jams,A Walk In The Black Forest,Horst Jankowski,The Genius Of Jankowski!,2,169.0,2016,,DEF076302230,134527690.0,https://www.deezer.com/track/134527690,https://music.youtube.com/watch?v=q1ktk1Nrilc,,
biab-internet-corpus_2321.jams,Qui sas ?,Psykick Lyrikah,Derrière moi,9,201.0,2004,3f6d3e67-fc79-4742-855a-7af0b1e814a1,QMFMG1530960,129630336.0,https://www.deezer.com/track/129630336,https://music.youtube.com/watch?v=RaBPXIw0rqs,,
biab-internet-corpus_1654.jams,A Short One,Propellerheads,The Matrix: Music From the Motion Picture,6,106.0,2023,2464057a-d932-4de7-9906-e2c3d81b7733,QMQ3E2301806,2471534221.0,https://www.deezer.com/track/2471534221,https://music.youtube.com/watch?v=vK0ggI0EnFQ,,
biab-internet-corpus_3657.jams,JOY    BY WILL CAMPBELL,Curt Hardy feat. Don Laka,Hymns From My Childhood,12,278.049,,a28d3986-ecf2-4b77-8929-15f21da745aa,['ZA4DA1600001'],,,https://music.youtube.com/watch?v=HyBR9IOtnUE,,
biab-internet-corpus_4001.jams,MY Little Town/Paul Simon       :+D       clarkr@sd28.bc.ca,The Russian Futurists,Indie/Rock Playlist: July 2006,69,170.04,,37ac87c3-73e5-4391-a1b2-9754f33eab0c,"['CAU240700015', 'GBCSG0600047']",,,https://music.youtube.com/watch?v=X1_CNl6w2Tk,,
biab-internet-corpus_2208.jams,The Way        Fastball,Yonder Mountain String Band,Yonder Mountain String Band,14,243.0,2006,dc534169-675a-4fc6-80e1-1e76256ae9e6,USFB20672257,1206674.0,https://www.deezer.com/track/1206674,https://music.youtube.com/watch?v=3ZolDgbV6qI,,
biab-internet-corpus_3539.jams,SOMEDAY SOON,"S BOGGUS, J COLLINS, C LEDUIX, M BANDY, ETC",The 60's Collection,4,226.0,,360406b0-e65d-44a1-b09d-eefc60b04271,['USEE16800001'],,,https://music.youtube.com/watch?v=N3O0TP03KIE,,
