jams_file,track_name,artist_name,album_name,track_number,duration,release_year,musicbrainz,isrc,deezer_id,deezer_url,youtube_url,acousticbrainz,spotify_id
billboard_275.jams,California Nights,Leslie Gore,"Swami Sound System, Volume 1: 2003 Sales Conference",5,169.501428571,,6f46aa0c-d426-44e5-968b-ecb09dcae220,['US2850411705'],,,https://music.youtube.com/watch?v=1C8B1z_rcuw,,
billboard_867.jams,Where Do You Wanna Go,The Fifth Dimension,"Sunshine Days: Pop Classics of the 60's, Volume 1",1,145.005714285,,37ad3ad6-e7c1-4358-b35f-b1adadf90b0f,"['USAR16700112', 'USAR19700296']",,,https://music.youtube.com/watch?v=242bVcCcB5A,,
billboard_641.jams,Lucky Man,"Emerson, Lake & Palmer","Emerson, Lake & Palmer",4,280.899047619,2008,,GBAJE0502693,5426592.0,https://www.deezer.com/track/5426592,https://music.youtube.com/watch?v=Qs8F1a04rHY,,2BURVLCtzmNylUqMVCLUbg
billboard_88.jams,Fool That I Am,Etta James,The Second Time Around,2,177.632653061,2015,,USMC16146327,1148590.0,https://www.deezer.com/track/1148590,https://music.youtube.com/watch?v=4qSXS0uX0fw,,5vbDpg7ygVgYX0e2IwHkp4
billboard_782.jams,Last Kiss,Wednesday,Last Kiss,1,156.081632653,2013,,CAU117407598,69008772.0,https://www.deezer.com/track/69008772,https://music.youtube.com/watch?v=wgzklH-YGck,,1pGlto2dqYjBc7TECAmYgU
billboard_179.jams,Bad Moon Rising,Creedence Clearwater Revival,Chronicle: 20 Greatest Hits,5,132.649795918,2014,,USC4R0817604,593439072.0,https://www.deezer.com/track/593439072,https://music.youtube.com/watch?v=tKJwvQfraY8,,20OFwXhEXf12DzwXmaV7fj
billboard_15.jams,Chiquitita,ABBA,Voulez-Vous,11,324.675918367,2008,,SEAYD7901080,884038.0,https://www.deezer.com/track/884038,https://music.youtube.com/watch?v=8WyfVoFM9As,,4g5LUzHFRr4Zlok8KzERmI
billboard_391.jams,Letter Full of Tears,Gladys Knight & The Pips,Letter Full of Tears / You Broke Your Promise,3,165.694693877,2006,,USAR17400153,563852.0,https://www.deezer.com/track/563852,https://music.youtube.com/watch?v=9BM1FP-E5w8,,
billboard_223.jams,I Really Don't Want To Know,Elvis Presley,Elvis Country,13,166.217142857,1977,43a6f56d-ed84-4f01-a8b5-8d17b8143537,USRC19205611,1076608.0,https://www.deezer.com/track/1076608,https://music.youtube.com/watch?v=yguQLGVl7Ms,,
billboard_169.jams,Got It Made,Crosby Stills and Nash,CSN,2,274.311836734,1988,68eb44e1-53a5-4009-9584-0c27dec1c54b,USAT28800003,5612086.0,https://www.deezer.com/track/5612086,https://music.youtube.com/watch?v=GTxr8pBlbyw,,
