jams_file,track_name,artist_name,album_name,track_number,duration,release_year,musicbrainz,isrc,deezer_id,deezer_url,youtube_url,acousticbrainz,spotify_id
mozart-piano-sonatas_38.jams,Piano Sonata no. 13 in B flat major,Wolfgang Amadeus Mozart,Mozart: Piano Concerto No.23 K.488; Piano Sonata K.333,4,639,,https://musicbrainz.org/work/5057d730-7733-4753-aa0f-07498a0c37f2,DEF058702141,66438644,https://www.deezer.com/track/66438644,https://music.youtube.com/watch?v=F4tm95OqCc0,,
mozart-piano-sonatas_12.jams,Piano Sonata no. 5 in G major,Wolfgang Amadeus Mozart,50 Mozart Masterworks You Have to Listen Before You Die (Golden Deer Classics),1,370,,https://musicbrainz.org/work/cb47a22e-9fc6-4ab6-9be2-445113373353,GBAJY2241201,2377635655,https://www.deezer.com/track/2377635655,https://music.youtube.com/watch?v=C2nh6j1O3ho,,
mozart-piano-sonatas_6.jams,Piano Sonata no. 3 in B flat major,Wolfgang Amadeus Mozart,50 Mozart Masterworks You Have to Listen Before You Die (Golden Deer Classics),8,295,,https://musicbrainz.org/work/4495fb34-25b6-48f9-9a53-e2caa9ac8a2c,NLA508542505,66343434,https://www.deezer.com/track/66343434,https://music.youtube.com/watch?v=C2nh6j1O3ho,,
mozart-piano-sonatas_18.jams,Piano Sonata no. 7 in C major,Wolfgang Amadeus Mozart,50 Mozart Masterworks You Have to Listen Before You Die (Golden Deer Classics),19,537,,https://musicbrainz.org/work/645a1b04-b378-4883-91a6-2627553cd365,GBAJY2241219,2377635835,https://www.deezer.com/track/2377635835,https://music.youtube.com/watch?v=C2nh6j1O3ho,,
mozart-piano-sonatas_30.jams,Piano Sonata no. 11 in A major,Wolfgang Amadeus Mozart,The Essentials: Works for Piano,160,212,,https://musicbrainz.org/work/a488a020-884d-3349-a7e7-18993ffed13e,DEF056702701,1597562612,https://www.deezer.com/track/1597562612,https://music.youtube.com/watch?v=kSksfYm4iHs,,
mozart-piano-sonatas_27.jams,Piano Sonata no. 10 in C major,Wolfgang Amadeus Mozart,50 Mozart Masterworks You Have to Listen Before You Die (Golden Deer Classics),3,468,,https://musicbrainz.org/work/70d1fa96-da75-4ec2-97e4-759ff26eb881,DEF059003843,72088699,https://www.deezer.com/track/72088699,https://music.youtube.com/watch?v=C2nh6j1O3ho,,
mozart-piano-sonatas_19.jams,Piano Sonata no. 7 in C major,Wolfgang Amadeus Mozart,50 Mozart Masterworks You Have to Listen Before You Die (Golden Deer Classics),19,537,,https://musicbrainz.org/work/645a1b04-b378-4883-91a6-2627553cd366,GBAJY2241219,2377635835,https://www.deezer.com/track/2377635835,https://music.youtube.com/watch?v=C2nh6j1O3ho,,
mozart-piano-sonatas_48.jams,Piano Sonata no. 17 in B flat major,Wolfgang Amadeus Mozart,Mozart: The Piano Sonatas,19,557,,https://musicbrainz.org/work/a484f227-9918-4c5e-85fb-1204db0b7af2,FRZ390401420,1533385132,https://www.deezer.com/track/1533385132,https://music.youtube.com/watch?v=Qqjj16tbxtc,,
mozart-piano-sonatas_45.jams,Piano Sonata no. 16 in C major,Wolfgang Amadeus Mozart,50 Mozart Masterworks You Have to Listen Before You Die (Golden Deer Classics),2,361,,https://musicbrainz.org/work/a2ad223d-d73b-3775-9580-fd25b4d986e1,DEF058902282,65344799,https://www.deezer.com/track/65344799,https://music.youtube.com/watch?v=C2nh6j1O3ho,,
mozart-piano-sonatas_51.jams,Piano Sonata no. 18 in D major,Wolfgang Amadeus Mozart,50 Mozart Masterworks You Have to Listen Before You Die (Golden Deer Classics),1,292,,https://musicbrainz.org/work/99538f90-2ca3-4b34-b6b9-f39ca0937066,GBSMU3276972,140802747,https://www.deezer.com/track/140802747,https://music.youtube.com/watch?v=C2nh6j1O3ho,,
mozart-piano-sonatas_2.jams,Piano Sonata no. 1 in C major,Wolfgang Amadeus Mozart,"Mozart: Piano Sonatas Nos. 1, 14 & 18; Fantasia In C Minor",3,196,,https://musicbrainz.org/work/62c0bdd8-46ca-4e17-879c-443ad9fd599e,NLA508400307,66343429,https://www.deezer.com/track/66343429,https://music.youtube.com/watch?v=aazIStBTfb4,,
mozart-piano-sonatas_31.jams,Piano Sonata no. 11 in A major,Wolfgang Amadeus Mozart,The Essentials: Works for Piano,160,212,,https://musicbrainz.org/work/a488a020-884d-3349-a7e7-18993ffed13e,DEF056702701,1597562612,https://www.deezer.com/track/1597562612,https://music.youtube.com/watch?v=kSksfYm4iHs,,
