jams_file,track_name,artist_name,album_name,track_number,duration,release_year,musicbrainz,isrc,deezer_id,deezer_url,youtube_url,acousticbrainz,spotify_id
nottingham_821.jams,Orange and Blue,Sarah Jarosz,World on the Ground,12,158.0,2023,866bff8d-9a4c-4000-951b-b65d5b509104,CAENV2346718,2459436585.0,https://www.deezer.com/track/2459436585,https://music.youtube.com/watch?v=rVsjHU8Raes,,
nottingham_589.jams,Caymann Reel,Grand Puba,Reel to Reel,9,236.466,,3a69a52f-78c2-426b-a072-3e35a4d61c58,['USEE19200077'],,,https://music.youtube.com/watch?v=JH_09cjrtgc,,
nottingham_97.jams,Old Joe Clark 2,Earl Taylor & Jim McCall with the Stoney Mountain Boys,Smoky Mountain Pickin': 24 Great Bluegrass Instrumentals – Vintage 60’s,51,31.0,2003,3b318a27-4a87-4677-84f0-6207848e7324,USHM22235645,1810391787.0,https://www.deezer.com/track/1810391787,https://music.youtube.com/watch?v=lVflZycSzPI,,
nottingham_571.jams,Drops of Brandy,The Chieftains,Water From The Well,1,223.0,2006,,USBC19901825,548780.0,https://www.deezer.com/track/548780,https://music.youtube.com/watch?v=ZYrJJFpjrNg,,
nottingham_81.jams,My Old Man,Art Garfunkel,Original Album Classics,1,221.0,2017,4f60c897-5d8a-40b6-87e0-5ee9c4bf60d6,QMMZN1701298,347015761.0,https://www.deezer.com/track/347015761,https://music.youtube.com/watch?v=aR-kZUL9e6o,,
nottingham_285.jams,Davie's Brae,Savoir Adore,Our Nature,19,254.0,1995,92a38b43-b4f0-4eb7-8056-cd51746377f8,GBHYK0701141,1225567802.0,https://www.deezer.com/track/1225567802,https://music.youtube.com/watch?v=UZovpA_K9Ec,,
nottingham_4.jams,Hole in the Wall,The Bar‐Kays,Soul Finger,9,233.0,2023,8ffb3cc9-46d0-4879-a622-ac7ac081e6ed,QM7282346261,2367448435.0,https://www.deezer.com/track/2367448435,https://music.youtube.com/watch?v=aHJzUFOgyIE,,
nottingham_730.jams,Cairn on the Moor,Beth Patterson,Hybrid Vigor,10,242.0,2008,c8e51006-ac87-4b24-b16b-1f42b3c41f7e,GBCYD0804910,681704422.0,https://www.deezer.com/track/681704422,https://music.youtube.com/watch?v=DpB3UaDOa9w,,
nottingham_240.jams,Blackberry Quadrille,Preston Glass,Music as Medicine,2,162.0,1983,12b2679c-1cf5-44dc-943e-791d29f716b7,QMFMG1377053,1068220952.0,https://www.deezer.com/track/1068220952,https://music.youtube.com/watch?v=_teY4qWJA3o,,
nottingham_367.jams,Jonathan's Jig,Barclay James Harvest,The Compact Story of Barclay James Harvest,16,80.0,2017,526f710f-af68-401d-bd6c-fea484bb204f,QMQZ91200016,140151903.0,https://www.deezer.com/track/140151903,https://music.youtube.com/watch?v=o3NEd2EHwWw,,
nottingham_133.jams,Redwing,Hem,Eveningland,5,198.0,2023,2e3d8136-7a6b-4bc3-820d-02499d5a63de,FRUM72203030,2145064207.0,https://www.deezer.com/track/2145064207,https://music.youtube.com/watch?v=ecsYpc7-SH4,,
