jams_file,track_name,artist_name,album_name,track_number,duration,release_year,musicbrainz,isrc,deezer_id,deezer_url,youtube_url,acousticbrainz,spotify_id
real-book_2322.jams,June Brought The Roses,Inon Zur,Fantasy Adventure,7,189.0,2022,722f9d4d-4f9f-4168-a4cc-1d0ec6a27f98,FR59R2299688,1725834907.0,https://www.deezer.com/track/1725834907,https://music.youtube.com/watch?v=SZ13vofKY_M,,
real-book_1341.jams,Lullaby Of Broadway,Ella Fitzgerald,Sings Sweet Songs For Swingers,13,189.0,2023,,QZYGC2307643,2471608241.0,https://www.deezer.com/track/2471608241,https://music.youtube.com/watch?v=2v0tNHDmrXA,,
real-book_445.jams,Rocker,Gerry Mulligan,Gene Norman Presents The Original Gerry Mulligan Tentet and Quartet featuring Chet Baker,1,146.0,2023,43126cdc-318a-4aa2-a32f-0fef41410a80,AUXN22378356,2478645901.0,https://www.deezer.com/track/2478645901,https://music.youtube.com/watch?v=GO3vu9TGvT8,,
real-book_2542.jams,The Happy Wanderer [Val-De-Ri Val-De-Ra],Moller,Palais Royal !,9,38.0,,8862ac5c-db41-4d80-83fc-70c7e43d8cf9,['FR90Q1000108'],,,https://music.youtube.com/watch?v=eJPA8t_Kq78,,
real-book_1463.jams,Smile,竹仲絵里,傘,92,89.0,2023,6af95906-2943-425c-a97d-8fd5499ebbc0,AUBEC2321843,2295359845.0,https://www.deezer.com/track/2295359845,https://music.youtube.com/watch?v=MIl6XsoowN4,,
real-book_27.jams,Pfrancing,Miles Davis,Someday My Prince Will Come,3,510.0,2012,568d9280-08eb-400f-969b-47efeba21d2c,USSM16101277,13188879.0,https://www.deezer.com/track/13188879,https://music.youtube.com/watch?v=ptU-_vlyPH8,,
real-book_2845.jams,Don't Let The Sun Catch You Crying,Gloria Estefan,"Hold Me, Thrill Me, Kiss Me",8,203.0,2023,c8ea94f0-7c94-48fb-8b8c-826f42c2ecc4,USCWY0610770,2400279085.0,https://www.deezer.com/track/2400279085,https://music.youtube.com/watch?v=3oH1tdglJp8,,
real-book_1161.jams,I'm In The Mood For Swing,Benny Carter,Benny Carter and His Orchestra Selected Favorites Volume 4,9,168.0,1999,,USBB10000273,984812.0,https://www.deezer.com/track/984812,https://music.youtube.com/watch?v=DhJQJeL4owk,,
real-book_1852.jams,The Oak Tree,Lua Maria & Adrian Freedman,The Phoenix Tree,18,202.0,2004,,USAR17500007,603919.0,https://www.deezer.com/track/603919,https://music.youtube.com/watch?v=zzEIqFOeMTo,,
real-book_1155.jams,What A Difference A Day Makes,Coleman Hawkins with Michel Warlop and his Orchestra,All Star Sessions,1,205.0,2023,07e10f7e-b891-424f-a640-d6b25cd7b730,ARF412300130,2221664897.0,https://www.deezer.com/track/2221664897,https://music.youtube.com/watch?v=upJ3OgMRiUA,,
real-book_455.jams,Trumpet,Mark Broom,This Town,1,188.0,2023,bdf3d741-3391-4c8f-a050-c73234af0a40,USUYG1471511,2243240687.0,https://www.deezer.com/track/2243240687,https://music.youtube.com/watch?v=Hjeb_ZyK5lw,,
real-book_390.jams,Luck Be A Lady,Frank Loesser,101 Songs From the Musicals,19,208.0,2023,044c7bfc-1a68-43e4-bc57-3fa39c5ea5a1,QMQYB2326919,2448969395.0,https://www.deezer.com/track/2448969395,https://music.youtube.com/watch?v=-qfBuMye50Q,,
real-book_120.jams,Wherever There's Love (There's You And I),Dan Barrett Trio And Quartet,Jubilesta,8,180.0,2015,,QM6P41424623,115251420.0,https://www.deezer.com/track/115251420,https://music.youtube.com/watch?v=ALpgYnl4f_I,,
real-book_858.jams,Strike Up The Band,Ella Fitzgerald,Ella Fitzgerald Sings The George And Ira Gershwin Song Book,12,156.0,2023,,FR8X02300672,2473101221.0,https://www.deezer.com/track/2473101221,https://music.youtube.com/watch?v=J9oxzztmjbc,,
real-book_2607.jams,At Sundown,Tommy Dorsey & His Orchestra,"The Encyclopedia of Jazz, Part 3/5: Big Bands - The Giants of the Swing Big Band Era",50,90.0,2023,f69e76a3-8a89-4d22-b874-3acb2e8c31d5,NL3CN2131122,2419549495.0,https://www.deezer.com/track/2419549495,https://music.youtube.com/watch?v=TEyS3lkKe9s,,
real-book_976.jams,In A Mellow Tone,Nat King Cole,Nat King Cole at the Sands,12,159.0,2023,bb08eac8-f6d2-49fa-afbc-66caddcebafd,DELM41405478,2226478027.0,https://www.deezer.com/track/2226478027,https://music.youtube.com/watch?v=QtRFw53nrlE,,
real-book_235.jams,"New York, New York",Robert Fripp,Exposure,3,558.0,2023,a67738b2-53d2-4d02-80b8-075b113e3efe,ITDD82304581,2464568205.0,https://www.deezer.com/track/2464568205,https://music.youtube.com/watch?v=le1QF3uoQNg,,
real-book_26.jams,(There Will Never Be) Another You,Chet Baker,Chet Baker Sings,11,215.0,2023,,DGA092350440,2451726845.0,https://www.deezer.com/track/2451726845,https://music.youtube.com/watch?v=ytHMBYLwgVU,,
real-book_387.jams,I Got Plenty O' Nuttin',Frank Sinatra,A Swingin' Affair! (Remastered / Expanded Edition),71,231.0,2014,,USPR35700066,1773365047.0,https://www.deezer.com/track/1773365047,https://music.youtube.com/watch?v=Gj95CIJBJFE,,
