jams_file,track_name,artist_name,album_name,track_number,duration,release_year,musicbrainz,isrc,deezer_id,deezer_url,youtube_url,acousticbrainz,spotify_id
rock-corpus_86.jams,Imagine,Fonky Family,Art de rue,1,145,2021,87c6f36a-2d6c-48b4-9b4c-41efeb25837c,TCAFL2196396,1278301122,https://www.deezer.com/track/1278301122,https://music.youtube.com/watch?v=rAn-AWXtHv0,,
rock-corpus_33.jams,Crying,Rita Wilson,Rita Wilson,2,224,2009,8d2274b1-907d-4706-bd5a-86f91075c6b3,GBCEL0900443,4315578,https://www.deezer.com/track/4315578,https://music.youtube.com/watch?v=My4Mq9ZfFOs,,
rock-corpus_127.jams,One,Rebekah Del Rio,"Love Hurts, Love Heals",1,77,2022,b48e7e82-22f3-4b1e-8b19-1f4df404cc65,QM24S2205323,1950240787,https://www.deezer.com/track/1950240787,https://music.youtube.com/watch?v=tlO3lZhDukU,,
rock-corpus_148.jams,Satisfaction,Rock Kids,Kids Will Rock You,4,223,2019,53aa3927-4d93-416b-8288-0474c7784277,SEBGA1900580,630345532,https://www.deezer.com/track/630345532,https://music.youtube.com/watch?v=ZKrbrWarBAI,,
rock-corpus_156.jams,Stand By Me,Ben E. King,Stand By Me,4,356,1997,,GBBQY9700008,532435,https://www.deezer.com/track/532435,https://music.youtube.com/watch?v=pKtLNYNWbBw,,
rock-corpus_27.jams,California Girls,The Saturday People,The Saturday People,1,187,2016,61b5b52f-f557-4ce4-be2b-a37b825e2293,NOUM71602474,2148413217,https://www.deezer.com/track/2148413217,https://music.youtube.com/watch?v=NFODb2JRXBI,,
rock-corpus_177.jams,Thunder Road,Judas Priest,Point of Entry,2,288,1995,87bedcb5-6d93-44b9-b59c-3487ddf71151,USSM19904335,552942242,https://www.deezer.com/track/552942242,https://music.youtube.com/watch?v=O2K5_fFvEIg,,
rock-corpus_42.jams,Enter Sandman,Vice Squad,The World’s Greatest Metallica Tribute,1,331,2008,6ad20b76-9c07-48a5-b5c9-c14d6805ec45,GBF089190013,2114399,https://www.deezer.com/track/2114399,https://music.youtube.com/watch?v=CHIWNDAwTqQ,,
rock-corpus_45.jams,Fake Plastic Trees,Radiohead,The Bends,4,290,2015,,GBAYE9400056,138544263,https://www.deezer.com/track/138544263,https://music.youtube.com/watch?v=6gDhsUWCHrg,,
rock-corpus_110.jams,Louie Louie,Eric Copeland,Frenchkiss Label Group Compilation,16,220,2014,9a27f2f3-4968-48ce-9998-0aee0af88957,DEC738600004,548510,https://www.deezer.com/track/548510,https://music.youtube.com/watch?v=xKt75jUuKJY,,
