Start,Duration,Pitch,Velocity,Instrument
1.0,0.16999093381686312,74,117,
1.0,0.16999093381686312,76,117,
1.0,0.16999093381686312,69,117,
1.0,0.16999093381686312,76,117,
1.0,0.33998186763372623,50,117,
1.0,0.16999093381686312,38,127,
1.5,0.16999093381686312,74,117,
1.5,0.16999093381686312,76,117,
1.5,0.16999093381686312,69,117,
1.5,0.16999093381686312,38,127,
2.0,0.22665457842248415,76,117,
2.0,0.22665457842248415,74,117,
2.0,0.22665457842248415,69,117,
2.0,0.16999093381686312,38,127,
2.5,0.16999093381686312,47,117,
2.5,0.16999093381686312,38,127,
2.75,0.16999093381686312,69,117,
2.75,0.16999093381686312,76,117,
2.75,0.16999093381686312,74,117,
3.0,0.17249310027598896,35,127,
3.25,0.17249310027598896,76,117,
3.25,0.17249310027598896,69,117,
3.25,0.22999080036798528,74,117,
3.5,0.22999080036798528,47,117,
3.5,0.17249310027598896,35,127,
4.0,0.33998186763372623,74,117,
4.0,0.33998186763372623,69,117,
4.0,0.33998186763372623,76,117,
4.0,0.16999093381686312,35,127,
4.5,0.16999093381686312,47,117,
4.5,0.16999093381686312,35,127,
5.0,0.22665457842248415,43,117,
5.0,0.16999093381686312,74,117,
5.0,0.0,69,117,
5.0,0.0,76,117,
5.0,0.16999093381686312,31,127,
5.5,0.16999093381686312,76,117,
5.5,0.16999093381686312,69,117,
5.5,0.16999093381686312,74,117,
5.5,0.16999093381686312,31,127,
6.0,0.22665457842248415,69,117,
6.0,0.22665457842248415,74,117,
6.0,0.22665457842248415,76,117,
6.0,0.0,31,127,
6.5,0.16999093381686312,43,117,
6.5,0.16999093381686312,31,127,
6.75,0.16999093381686312,69,117,
6.75,0.16999093381686312,76,117,
6.75,0.16999093381686312,73,117,
6.75,0.16999093381686312,33,127,
7.25,0.16999093381686312,73,117,
7.25,0.16999093381686312,69,117,
7.25,0.16999093381686312,76,117,
7.25,0.16999093381686312,33,127,
7.5,0.22665457842248415,45,117,
7.75,0.0,33,127,
8.0,0.33998186763372623,73,117,
8.0,0.33998186763372623,69,117,
8.0,0.33998186763372623,76,117,
8.0,0.16999093381686312,33,127,
8.5,0.16999093381686312,45,117,
8.5,0.22665457842248415,33,127,
9.0,0.17249310027598896,69,117,
9.0,0.17249310027598896,76,117,
9.0,0.17249310027598896,74,117,
9.0,0.34498620055197793,47,117,
9.0,0.17249310027598896,35,127,
9.5,0.17249310027598896,74,117,
9.5,0.17249310027598896,69,117,
9.5,0.17249310027598896,76,117,
9.5,0.17249310027598896,35,127,
10.0,0.33998186763372623,74,117,
10.0,0.22665457842248415,76,117,
10.0,0.22665457842248415,69,117,
10.0,0.16999093381686312,35,127,
10.5,0.16999093381686312,47,117,
10.5,0.16999093381686312,35,127,
10.75,0.16999093381686312,69,117,
10.75,0.16999093381686312,76,117,
10.75,0.16999093381686312,74,117,
10.75,0.16999093381686312,31,127,
11.25,0.16999093381686312,76,117,
11.25,0.16999093381686312,69,117,
11.25,0.16999093381686312,74,117,
11.25,0.16999093381686312,31,127,
11.5,0.22665457842248415,43,117,
11.75,0.0,31,127,
12.0,0.33998186763372623,76,117,
12.0,0.33998186763372623,74,117,
12.0,0.22665457842248415,69,117,
12.0,0.16999093381686312,31,127,
12.5,0.22665457842248415,43,117,
12.5,0.16999093381686312,31,127,
13.0,0.33998186763372623,40,117,
13.0,0.33998186763372623,71,117,
13.0,0.33998186763372623,67,117,
13.0,0.33998186763372623,74,117,
13.0,0.33998186763372623,28,127,
13.75,0.33998186763372623,71,117,
13.75,0.33998186763372623,74,117,
13.75,0.33998186763372623,40,117,
13.75,0.33998186763372623,67,117,
13.75,0.33998186763372623,40,117,
13.75,0.33998186763372623,28,127,
14.5,0.22999080036798528,45,117,
14.5,0.22999080036798528,73,117,
14.5,0.22999080036798528,69,117,
14.5,0.22999080036798528,76,117,
14.5,0.6899724011039559,33,127,
15.5,0.0,38,34,
15.666666666666666,0.0,38,42,
15.75,0.0,38,61,
16.0,0.0,38,81,
16.0,0.0,38,117,
16.25,0.0,38,117,
16.5,0.0,41,108,
16.5,0.0,41,108,
17.0,0.16999093381686312,74,117,
17.0,0.16999093381686312,69,117,
17.0,0.16999093381686312,76,117,
17.0,0.33998186763372623,50,117,
17.0,0.16999093381686312,38,127,
17.0,0.16999093381686312,38,127,
17.0,0.0,42,117,
17.0,0.0,36,117,
17.0,0.0,64,117,
17.0,0.16999093381686312,50,110,
17.25,0.0,42,117,
17.25,0.0,64,117,
17.5,0.16999093381686312,74,117,
17.5,0.16999093381686312,76,117,
17.5,0.16999093381686312,69,117,
17.5,0.16999093381686312,38,127,
17.5,0.16999093381686312,38,127,
17.5,0.0,46,117,
17.5,0.0,60,117,
17.5,0.16999093381686312,50,110,
18.0,0.22665457842248415,76,117,
18.0,0.22665457842248415,74,117,
18.0,0.22665457842248415,69,117,
18.0,0.16999093381686312,38,127,
18.0,0.16999093381686312,38,127,
18.0,0.0,36,117,
18.0,0.0,42,117,
18.0,0.0,62,117,
18.0,0.16999093381686312,50,110,
18.25,0.0,62,107,
18.5,0.16999093381686312,47,117,
18.5,0.16999093381686312,38,127,
18.5,0.16999093381686312,38,127,
18.5,0.0,46,117,
18.5,0.0,61,117,
18.5,0.16999093381686312,50,110,
18.75,0.16999093381686312,69,117,
18.75,0.16999093381686312,76,117,
18.75,0.16999093381686312,74,117,
18.75,0.0,64,107,
19.0,0.17249310027598896,35,127,
19.0,0.17249310027598896,35,127,
19.0,0.0,36,122,
19.0,0.0,42,122,
19.0,0.17249310027598896,47,110,
19.25,0.17249310027598896,76,117,
19.25,0.17249310027598896,69,117,
19.25,0.17249310027598896,74,117,
19.25,0.0,64,107,
19.5,0.22999080036798528,47,117,
19.5,0.17249310027598896,35,127,
19.5,0.17249310027598896,35,127,
19.5,0.0,46,117,
19.5,0.0,60,117,
19.5,0.17249310027598896,47,110,
20.0,0.22665457842248415,74,117,
20.0,0.22665457842248415,69,117,
20.0,0.22665457842248415,76,117,
20.0,0.16999093381686312,35,127,
20.0,0.16999093381686312,35,127,
20.0,0.0,36,117,
20.0,0.0,42,117,
20.0,0.0,62,117,
20.0,0.16999093381686312,47,110,
20.25,0.0,62,107,
20.5,0.16999093381686312,47,117,
20.5,0.16999093381686312,35,127,
20.5,0.16999093381686312,35,127,
20.5,0.0,39,120,
20.5,0.0,46,120,
20.5,0.0,61,120,
20.5,0.16999093381686312,47,110,
21.0,0.22665457842248415,43,117,
21.0,0.16999093381686312,74,117,
21.0,0.16999093381686312,69,117,
21.0,0.16999093381686312,76,117,
21.0,0.16999093381686312,31,127,
21.0,0.16999093381686312,31,127,
21.0,0.0,36,117,
21.0,0.0,42,117,
21.0,0.0,64,117,
21.0,0.16999093381686312,43,110,
21.25,0.0,42,117,
21.25,0.0,64,117,
21.5,0.16999093381686312,76,117,
21.5,0.16999093381686312,69,117,
21.5,0.16999093381686312,74,117,
21.5,0.16999093381686312,31,127,
21.5,0.16999093381686312,31,127,
21.5,0.0,46,117,
21.5,0.0,60,117,
21.5,0.16999093381686312,43,110,
22.0,0.22665457842248415,69,117,
22.0,0.22665457842248415,74,117,
22.0,0.22665457842248415,76,117,
22.0,0.0,31,127,
22.0,0.0,31,127,
22.0,0.0,36,117,
22.0,0.0,42,117,
22.0,0.0,62,117,
22.0,0.0,43,110,
22.5,0.16999093381686312,43,117,
22.5,0.16999093381686312,31,127,
