Start,Duration,Pitch,Velocity,Instrument
4.0,1.814516129032258,77,102,
4.0,0.24193548387096775,29,114,
4.0,1.935483870967742,65,103,
4.0,1.935483870967742,89,103,
4.0,0.12096774193548387,70,117,
4.0,0.24193548387096775,77,127,
4.0,0.0,42,87,
4.0,0.0,54,87,
4.0,0.0,49,60,
4.0,0.0,35,85,
4.0,0.0,38,85,
4.0,0.0,59,85,
4.25,0.12096774193548387,72,115,
4.25,0.0,42,98,
4.5,0.12096774193548387,68,110,
4.5,0.12096774193548387,65,110,
4.5,0.12096774193548387,72,110,
4.5,0.12096774193548387,41,97,
4.5,0.12096774193548387,75,115,
4.5,0.0,54,87,
4.5,0.0,46,87,
4.5,0.0,69,70,
4.75,0.12096774193548387,41,102,
4.75,0.12096774193548387,77,111,
4.75,0.0,54,30,
5.0,0.24193548387096775,29,114,
5.0,0.12096774193548387,70,117,
5.0,0.0,42,88,
5.0,0.0,54,88,
5.0,0.0,35,122,
5.0,0.0,40,122,
5.25,0.12096774193548387,68,105,
5.25,0.12096774193548387,65,105,
5.25,0.12096774193548387,72,105,
5.25,0.12096774193548387,72,115,
5.5,0.12096774193548387,41,97,
5.5,0.12096774193548387,75,115,
5.5,0.0,46,88,
5.5,0.0,54,88,
5.75,0.12096774193548387,41,102,
5.75,0.12096774193548387,77,111,
5.75,0.0,36,66,
6.0,0.3225806451612903,65,108,
6.0,0.3225806451612903,68,108,
6.0,0.3225806451612903,72,108,
6.0,0.24193548387096775,29,114,
6.0,0.12096774193548387,70,117,
6.0,0.0,42,86,
6.0,0.0,54,86,
6.0,0.0,35,120,
6.25,0.12096774193548387,72,115,
6.25,0.0,69,51,
6.5,0.12096774193548387,41,97,
6.5,0.12096774193548387,75,115,
6.5,0.0,46,86,
6.5,0.0,54,86,
6.5,0.0,36,76,
6.75,0.12096774193548387,68,108,
6.75,0.12096774193548387,65,108,
6.75,0.12096774193548387,72,108,
6.75,0.12096774193548387,41,102,
6.75,0.12096774193548387,77,111,
7.0,0.24193548387096775,29,114,
7.0,0.12096774193548387,70,117,
7.0,0.0,42,85,
7.0,0.0,54,85,
7.0,0.0,40,122,
7.0,0.0,35,122,
7.25,0.12096774193548387,72,115,
7.5,0.12096774193548387,68,103,
7.5,0.12096774193548387,72,103,
7.5,0.12096774193548387,65,103,
7.5,0.12096774193548387,41,97,
7.5,0.12096774193548387,75,115,
7.5,0.0,46,85,
7.5,0.0,54,85,
7.75,0.12096774193548387,41,102,
7.75,0.12096774193548387,77,111,
