Start,Duration,Pitch,Velocity,Instrument
5.0,2.512562814070352,72,76,
5.0,2.512562814070352,76,76,
5.0,2.512562814070352,77,76,
5.0,1.340033500837521,62,105,
5.0,1.340033500837521,74,105,
9.0,0.0,55,67,
9.0,0.0,72,67,
9.0,2.680067001675042,55,74,
9.0,2.680067001675042,76,74,
9.0,2.680067001675042,77,74,
9.0,2.680067001675042,81,74,
9.0,1.340033500837521,62,105,
9.0,1.340033500837521,74,105,
13.0,0.6599934000659994,60,71,
13.0,0.6599934000659994,48,71,
13.0,0.6599934000659994,81,71,
13.0,2.6399736002639975,70,82,
13.0,2.6399736002639975,74,82,
13.0,2.6399736002639975,77,82,
13.0,2.6399736002639975,81,82,
13.0,1.3199868001319988,62,105,
13.0,1.3199868001319988,74,105,
17.0,2.680067001675042,65,82,
17.0,2.680067001675042,72,82,
17.0,2.680067001675042,76,82,
17.0,2.680067001675042,79,82,
17.0,2.680067001675042,53,85,
17.0,2.680067001675042,72,85,
17.0,2.680067001675042,76,85,
17.0,2.680067001675042,79,85,
17.0,2.680067001675042,81,85,
17.0,1.340033500837521,62,105,
17.0,1.340033500837521,74,105,
20.5,0.16750418760469013,60,115,
20.5,0.16750418760469013,72,115,
20.75,0.0,45,36,
20.75,0.0,48,36,
21.0,0.6700167504187605,50,45,
21.0,0.6700167504187605,48,45,
21.0,2.512562814070352,72,76,
21.0,2.512562814070352,76,76,
21.0,2.512562814070352,77,76,
21.0,1.340033500837521,62,105,
21.0,1.340033500837521,74,105,
22.0,1.979980200197998,62,93,
22.0,1.979980200197998,65,93,
22.0,1.979980200197998,69,93,
24.0,0.16750418760469013,40,100,
24.0,0.16750418760469013,42,100,
25.0,0.0,55,67,
25.0,0.0,72,67,
25.0,2.6399736002639975,55,74,
25.0,2.6399736002639975,76,74,
25.0,2.6399736002639975,77,74,
25.0,2.6399736002639975,81,74,
25.0,0.989990100098999,60,93,
25.0,0.989990100098999,64,93,
25.0,0.989990100098999,67,93,
25.0,1.3199868001319988,62,105,
25.0,1.3199868001319988,74,105,
28.0,0.16499835001649985,40,100,
28.0,0.16499835001649985,42,100,
28.5,0.16499835001649985,60,115,
28.5,0.16499835001649985,72,115,
29.0,0.6700167504187605,60,71,
29.0,0.6700167504187605,48,71,
29.0,0.6700167504187605,81,71,
29.0,2.680067001675042,70,82,
29.0,2.680067001675042,74,82,
29.0,2.680067001675042,77,82,
29.0,2.680067001675042,81,82,
29.0,1.340033500837521,62,105,
29.0,1.340033500837521,74,105,
