jams_file,track_name,artist_name,album_name,track_number,duration,release_year,musicbrainz,isrc,deezer_id,deezer_url,youtube_url,acousticbrainz,spotify_id
schubert-winterreise-audio_119.jams,Der Leiermann,Jorg DemusandDietrich Fischer-Dieskau,Winterreise,24,189.02,,20484851-6711-496a-9508-3ad63658deef,['DEF056532024'],,,https://music.youtube.com/watch?v=wK9BQZwPjFc,,
schubert-winterreise-audio_46.jams,Die Nebensonnen,Jeremy DenkandRandall Scarlata,Journey for One: A Winterreise Fantasy for Solo Piano,23,178.39,,d31d3a13-1625-4883-8cb8-128a779a884b,['USPMZ2117023'],,,https://music.youtube.com/watch?v=lsJgMHzQ4d4,,
schubert-winterreise-audio_60.jams,Die Post,Roger VignolesandThomas Allen,Winterreise,13,124.23,,18e3d991-0301-49ba-9956-ccbf7e39a57d,,,,https://music.youtube.com/watch?v=n9DmdAwUbxc,,
schubert-winterreise-audio_35.jams,Einsamkeit,Jeremy DenkandRandall Scarlata,Weltreise,15,147.04,,ea0034d6-b526-471f-85b6-4c171a1a8ba2,['DEN120101163'],,,https://music.youtube.com/watch?v=CDBqjfPnJok,,
schubert-winterreise-audio_116.jams,Das Wirtshaus,Jorg DemusandDietrich Fischer-Dieskau,Winterreise,21,268.02,,93a7c7ed-c8c6-4c93-8fd3-acb308466c12,['DEF056532021'],,,https://music.youtube.com/watch?v=lu5Yj977YIQ,,
schubert-winterreise-audio_37.jams,Der greise Kopf,Jeremy DenkandRandall Scarlata,Journey for One: A Winterreise Fantasy for Solo Piano,14,149.34,,0e05f36e-de62-4832-bf79-f92b1283b5c9,['USPMZ2117014'],,,https://music.youtube.com/watch?v=YXateuv2dc8,,
schubert-winterreise-audio_40.jams,Im Dorfe,Jeremy DenkandRandall Scarlata,Journey for One: A Winterreise Fantasy for Solo Piano,17,190.54,,8f7ba063-3110-40c5-82fd-cb4d6226ade1,['USPMZ2117017'],,,https://music.youtube.com/watch?v=Hd9xfuNsM28,,
schubert-winterreise-audio_215.jams,Der Leiermann,Ulrich EisenlohrandRoman Trekel,Winterreise,24,257.33,,357baf9c-3f85-4bf6-b544-2f9de09821ec,,,,https://music.youtube.com/watch?v=LinCu9jfZ9o,,
schubert-winterreise-audio_8.jams,Irrlicht,Hanns-Udo MullerandGerhard Husch,"""Leise flehen meine Lieder...""",9,132.59,,fd5ddbdf-d02f-47c1-8259-424fb74a19b9,,,,https://music.youtube.com/watch?v=p9l3F1Qgp-c,,
schubert-winterreise-audio_9.jams,Rast,Hanns-Udo MullerandGerhard Husch,"""Leise flehen meine Lieder...""",10,195.65,,eb5cf0d0-6562-44fa-a1a1-e0fffbec42a5,,,,https://music.youtube.com/watch?v=VBO_uRVBOvU,,
