jams_file,track_name,artist_name,album_name,track_number,duration,release_year,musicbrainz,isrc,deezer_id,deezer_url,youtube_url,acousticbrainz,spotify_id
weimar_60.jams,My Little Suede Shoes,Charlie Parker,Boss Bird Disc 4,12,53.30816326530612,,5c16b018-62c1-4731-910a-55c72a9e31d1,['USF095125010'],,,https://music.youtube.com/watch?v=xjW_m5kcvi4,,
weimar_249.jams,Blues in Be-Bop,Kenny Dorham,"Quadromania Jazz Edition, Sonny Stitt, One O'Clock Jump, CD 1",,30.400068027210885,,https://musicbrainz.org/recording/3f9c0f89-0e80-4743-ac6c-ed6e3260bb27,,,,https://music.youtube.com/watch?v=FrYU6h6s0ew,,
weimar_377.jams,Summertime,Sidney Bechet,The Cradle Of Jazz -Sidney Bechet - Chant In The Night CD 1,,189.06848072562357,,https://musicbrainz.org/recording/1b79829f-fcfa-47dc-90f9-5537ca749975,,,,,,
weimar_346.jams,Alianca,Paul Desmond,Bossa Antigua,7,67.53469387755102,,https://musicbrainz.org/recording/0a635730-d771-4ad9-a8e9-d66f0e04ec79,USBB16401010,13209833.0,https://www.deezer.com/track/13209833,https://music.youtube.com/watch?v=VwuVzRnde5Y,,
weimar_29.jams,Royal Garden Blues,Bix Beiderbecke,The Cradle Of Jazz - Jazz Lips CD 2,,15.36122448979592,,https://musicbrainz.org/recording/2b5dbdbd-fd87-43c2-801c-728fe0f15d3d,,,,https://music.youtube.com/watch?v=qpTjV-ttLBQ,,
weimar_417.jams,Skippy,Steve Lacy,Steve Lacy plays Thelonious Monk-Reflections,7,86.60172335600907,,https://musicbrainz.org/recording/1878c31b-afe9-433f-b25a-5b8141deedd5,USFI85800421,1161318.0,https://www.deezer.com/track/1161318,https://music.youtube.com/watch?v=gidHhF5K9vU,,
weimar_403.jams,Cross-Fade,Steve Coleman,Black Science,9,44.80870748299319,,https://musicbrainz.org/recording/0f42f96d-9f32-40e1-bf2e-6702fbf64d50,USNO10400069,90409283.0,https://www.deezer.com/track/90409283,https://music.youtube.com/watch?v=pTLNmDtjDh0,,
weimar_91.jams,I'll Remember April,Clifford Brown,Brownie - The Complete EmArcy Recordings of Clifford Brown (Disc 10),11,81.73251700680271,,https://musicbrainz.org/recording/1f951a1a-34f6-4979-86f8-f4e4087d3563,FR2X41870235,504031032.0,https://www.deezer.com/track/504031032,https://music.youtube.com/watch?v=efD90XFbpsE,,
weimar_380.jams,Blue Seven,Sonny Rollins,1956,,38.39591836734694,,https://musicbrainz.org/recording/26b0dbe3-b9dd-4061-998a-fecb892d5a2a,,,,https://music.youtube.com/watch?v=f7VU_eZt0PI,,
weimar_214.jams,Ralph's Piano Waltz,John Abercrombie,"Quest/Standards, The Jazz Workshop Series, David Liebman/Richard Beirach/Ron McClure/Billy Hart",,78.76267573696146,,https://musicbrainz.org/recording/9c5a05bb-213e-4b7c-bb7b-80a07aa43c59,,,,https://music.youtube.com/watch?v=SZfPMTJm5Z8,,
