jams_file,track_name,artist_name,album_name,track_number,duration,release_year,musicbrainz,isrc,deezer_id,deezer_url,youtube_url,acousticbrainz,spotify_id
wikifonia_6660.jams,Afro Blue,Mongo Santamaria,Explodes at the Village Gate,1,234.0,2018,,UKPFB1800012,519279172.0,https://www.deezer.com/track/519279172,https://music.youtube.com/watch?v=A_rXTAsD2tA,,
wikifonia_3491.jams,PROPAGANDA,Ron Mael,"Rue des chansons, Volume 3",16,181.173,,a91ad12b-56b4-4234-8f2c-b36413c17f40,['FRZ110100726'],,,https://music.youtube.com/watch?v=g23T47Wonjo,,
wikifonia_1473.jams,Blues For Alice,Charlie Parker,Bird: The Complete Charlie Parker On Verve,1,168.0,1988,,FRS181202479,72273645.0,https://www.deezer.com/track/72273645,https://music.youtube.com/watch?v=G7USMqAH8qk,,
wikifonia_245.jams,Banks Of The Ohio,Traditional,"Joan Baez, Vol. 2",8,189.04,,6f114b36-1289-48a4-9265-b16bdc0ca94a,['USVG20185992'],,,https://music.youtube.com/watch?v=DSAu8kP_MFg,,
wikifonia_5209.jams,"If It's You (From the MGM Movie ""The Big Store""","Ben Oakland, Artie Shaw, Milton Drake","The Encyclopedia of Jazz, Part 3/5: Big Bands - The Giants of the Swing Big Band Era",4,172.106,,0710b13e-f067-4ae2-af00-4268e85eaf0f,['DEU240820752'],,,https://music.youtube.com/watch?v=rCBlJl_YBy0,,
wikifonia_728.jams,This Is All I Ask,Gordon Jenkins,Tenderly,3,148.0,2011,99cfe041-09d1-4632-93b9-ef73f670c929,USA371574152,16082389.0,https://www.deezer.com/track/16082389,https://music.youtube.com/watch?v=-7smB_62ATc,,
wikifonia_2643.jams,I Love You More And More Every Day,Don Robertson,Ten Good Reasons,6,121.0,2015,357debc3-de20-4bd2-8664-16edfd8275c8,USRN11500978,105179600.0,https://www.deezer.com/track/105179600,https://music.youtube.com/watch?v=MFFxmRp5ad8,,
wikifonia_4876.jams,Time after time,Sammy Kahn,Whisper Not,,212.0,,,,,,https://music.youtube.com/watch?v=t4JBxnQRgiM,,
wikifonia_4155.jams,Travelin' Light,"Sid Tepper, Roy C.Bennett",Troubadour,A2,171.173,,fd04acc4-a80f-4afa-af68-cd7f423bcc48,['USA047600020'],,,https://music.youtube.com/watch?v=JlNUjZ_j0os,,
wikifonia_2788.jams,Sunshine on my shoulders,"John Denver, Mike Taylor, Dick Kniss",The RCA Albums Collection,8,313.44,,1a0e187b-ca10-4938-9ff7-ce952165d8d6,['USRC10501257'],,,https://music.youtube.com/watch?v=E_i6h8_07mA,,
wikifonia_3401.jams,Old time waltz medley,various,A Taste Of The 50's,,267.0,,,,,,https://music.youtube.com/watch?v=hsHsRAwTpOs,,
